3.5538	0	-11.89888889
2.9367	0	-13.89888889
6.9847	0	-11.69888889
7.5315	0	-9.398888889
9.2148	0	-7.198888889
6.6474	0	-6.798888889
5.5278	2	-6.498888889
5.9284	17.1	-6.098888889
3.4587	30.7	-5.698888889
1.5895	138.9	-5.398888889
0.3381	158.6	-4.998888889
0	162.9	-4.598888889
0	205.6	-4.298888889
0	144.1	-3.898888889
0.6122	97	-5.598888889
0.1949	7.6	-7.198888889
0	0	-8.898888889
0.2812	0	-8.898888889
0	0	-8.898888889
0	0	-8.898888889
0	0	-7.798888889
0	0	-6.698888889
0.9737	0	-5.598888889
0	0	-4.998888889
0	0	-4.498888889
5.6808	0	-3.898888889
3.1572	0	-4.298888889
1.3693	0	-4.598888889
0.2423	0	-4.998888889
0	0	-4.598888889
1.2513	4.6	-4.298888889
0.7978	33.6	-3.898888889
4.3237	31.3	-3.498888889
3.1337	346.5	-3.198888889
0.9802	343.5	-2.798888889
1.4343	385.1	-2.998888889
2.5457	340.6	-3.098888889
0.9503	240.7	-3.298888889
3.4452	134.3	-3.698888889
3.9005	7.6	-3.998888889
1.6032	0	-4.398888889
1.2433	0	-4.998888889
2.8438	0	-5.498888889
2.5289	0	-6.098888889
0.9104	0	-6.098888889
1.2191	0	-6.098888889
1.8334	0	-6.098888889
3.2682	0	-5.898888889
1.7017	0	-5.798888889
2.782	0	-5.598888889
3.2258	0	-5.598888889
6.8235	0	-5.598888889
6.2386	0	-5.598888889
5.2684	0	-5.398888889
2.9138	5	-5.198888889
2.7636	79.8	-4.998888889
5.7378	103.9	-4.298888889
4.7359	237.1	-3.498888889
6.1888	194.7	-2.798888889
3.7407	231.2	-2.998888889
3.4228	175.2	-3.098888889
5.1	143.8	-3.298888889
4.3799	104.2	-3.498888889
3.9994	12.9	-3.698888889
5.3807	0	-3.898888889
3.2649	0	-3.898888889
2.8055	0	-3.898888889
1.4242	0	-3.898888889
0.4223	0	-3.698888889
0.2042	0	-3.498888889
3.0905	0	-3.298888889
0.9149	0	-3.298888889
1.8846	0	-3.298888889
3.6674	0	-3.298888889
6.5676	0	-4.098888889
5.463	0	-4.798888889
7.1812	0	-5.598888889
5.674	0	-5.798888889
4.7117	16.4	-5.898888889
7.2869	146.7	-6.098888889
4.334	170.4	-4.598888889
2.0251	170.6	-3.198888889
4.7584	169.2	-1.698888889
3.3962	251.9	-1.498888889
3.2868	267.3	-1.298888889
3.353	99.6	-1.098888889
3.5239	96.2	-0.898888889
6.1732	12.8	-0.798888889
4.6322	0	-0.598888889
2.6276	0	-0.398888889
2.0529	0	-0.198888889
0.2855	0	0.001111111
1.3834	0	0.201111111
5.2381	0	0.401111111
3.3664	0	0.601111111
4.4775	0	0.601111111
1.73	0	0.601111111
4.4567	0	0.601111111
5.9037	0	0.801111111
6.8893	0	0.901111111
7.8594	0	1.101111111
4.4858	0	1.101111111
3.0767	15.7	1.101111111
4.0177	120.1	1.101111111
4.501	181	1.501111111
4.0803	154	1.801111111
3.7134	144.5	2.201111111
2.524	138	1.701111111
0.4342	54.8	1.101111111
4.1054	142.8	0.601111111
4.0138	78.4	0.601111111
